month,Algonquin Citygates,Chicago Citygates,Malin,PG&E Citygate,SoCal Citygate,SoCal Ehrenberg,TETCO-M3
1,4.4252,0.0315,-0.0432,0.2961,0.2161,0.0345,0.7215
2,6.2029,0.4102,-0.2015,0.2293,0.064,-0.1302,2.4099
3,2.9606,0.1332,-0.1835,0.2493,0.058,-0.1238,-0.0597
4,0.6495,0.0076,-0.1793,0.266,0.1016,-0.0999,-0.4784
5,-0.513,-0.0215,-0.173,0.2883,0.1355,-0.0718,-0.7296
6,-0.5096,-0.044,-0.1449,0.2927,0.2425,0.0321,-1.0613
7,-0.4901,-0.0228,-0.1066,0.3914,0.3176,0.1385,-1.24
8,-0.4667,0.0048,-0.0893,0.4586,0.342,0.1868,-1.3158
9,-0.1802,-0.0086,-0.1287,0.4355,0.2176,0.0374,-1.577
10,0.1741,0.0024,-0.1541,0.3905,0.3835,-0.0168,-1.4612
11,1.2694,0.0785,-0.0676,0.3954,0.4376,0.0161,-0.5864
12,3.8068,0.0737,0.042,0.3529,0.7909,0.2308,0.0992
